"","geneNames"
"518","AK2"
"519","AZIN2"
"520","TRIM62"
"521","AL662907.3"
"522","ZNF362"
"523","AL513327.3"
"524","AL513327.1"
"525","PHC2"
"526","ZSCAN20"
"527","CSMD2"
"528","SMIM12"
"529","GJA4"
"530","AL122010.1"
"531","DLGAP3"
"532","AC114490.3"
"533","AC114490.2"
"534","TMEM35B"
"535","ZMYM6"
"536","ZMYM1"
"537","AL590434.1"
"538","SFPQ"
"539","ZMYM4"
"540","ZMYM4-AS1"
"541","KIAA0319L"
"542","NCDN"
"543","AC004865.2"
"544","TFAP2E"
"545","PSMB2"
"546","C1orf216"
"547","CLSPN"
"548","AGO4"
"549","AGO1"
"550","AL139286.2"
"551","AGO3"
"552","AL138787.2"
"553","TEKT2"
"554","ADPRHL2"
"555","COL8A2"
"556","TRAPPC3"
"557","MAP7D1"
"558","THRAP3"
"559","SH3D21"
"560","EVA1B"
"561","AL591845.1"
"562","STK40"
"563","LSM10"
"564","OSCP1"
"565","MRPS15"
"566","CSF3R"
"567","AL596257.1"
"568","LINC01137"
"569","ZC3H12A"
"570","MEAF6"
"571","SNIP1"
"572","DNALI1"
"573","GNL2"
"574","RSPO1"
"575","C1orf109"
"576","CDCA8"
"577","EPHA10"
"578","MANEAL"
"579","AL929472.3"
"580","YRDC"
"581","C1orf122"
"582","MTF1"
"583","AL929472.2"
"584","INPP5B"
"585","SF3A3"
"586","FHL3"
"587","UTP11"
"588","POU3F1"
"589","LINC01685"
"590","RRAGC"
"591","AL139260.1"
"592","MYCBP"
"593","AL139260.3"
"594","RHBDL2"
"595","AKIRIN1"
"596","NDUFS5"
"597","MACF1"
"598","AL442071.1"
"599","BMP8A"
"600","PABPC4"
"601","HEYL"
"602","HPCAL4"
"603","PPIE"
"604","BMP8B"
"605","OXCT2"
"606","AL033527.3"
"607","AL033527.5"
"608","AL033527.4"
"609","TRIT1"
"610","MYCL"
"611","AL033527.2"
"612","MFSD2A"
"613","CAP1"
"614","PPT1"
"615","RLF"
"616","TMCO2"
"617","AL050341.2"
"618","ZMPSTE24"
"619","COL9A2"
"620","SMAP2"
"621","AL031985.4"
"622","ZFP69B"
"623","ZFP69"
"624","AL603839.3"
"625","EXO5"
"626","AL603839.2"
"627","ZNF684"
"628","RIMS3"
"629","NFYC-AS1"
"630","NFYC"
"631","KCNQ4"
"632","CITED4"
"633","AC119677.1"
"634","CTPS1"
"635","SLFNL1-AS1"
"636","SLFNL1"
"637","SCMH1"
"638","AC093151.3"
"639","FOXO6"
"640","AC093151.2"
"641","HIVEP3"
"642","FOXJ3"
"643","RIMKLA"
"644","ZMYND12"
"645","PPCS"
"646","CCDC30"
"647","PPIH"
"648","AC098484.2"
"649","YBX1"
"650","CLDN19"
"651","P3H1"
"652","C1orf50"
"653","AC098484.3"
"654","AC098484.1"
"655","TMEM269"
"656","SVBP"
"657","ERMAP"
"658","AL512353.1"
"659","ZNF691"
"660","SLC2A1"
"661","SLC2A1-AS1"
"662","EBNA1BP2"
"663","CFAP57"
"664","TMEM125"
"665","C1orf210"
"666","TIE1"
"667","MPL"
"668","AL139289.2"
"669","CDC20"
"670","ELOVL1"
"671","MED8"
"672","AL139289.1"
"673","SZT2"
"674","SZT2-AS1"
"675","HYI"
"676","PTPRF"
"677","AL451062.3"
"678","KDM4A"
"679","KDM4A-AS1"
"680","ST3GAL3"
"681","AL451062.1"
"682","ARTN"
"683","AL357079.1"
"684","IPO13"
"685","DPH2"
"686","ATP6V0B"
"687","B4GALT2"
"688","CCDC24"
"689","SLC6A9"
"690","AL139220.2"
"691","DMAP1"
"692","ERI3"
"693","RNF220"
"694","TMEM53"
"695","ARMH1"
"696","KIF2C"
"697","AL592166.1"
"698","RPS8"
"699","BEST4"
"700","PLK3"
"701","TCTEX1D4"
"702","BTBD19"
"703","PTCH2"
"704","EIF2B3"
"705","HECTD3"
"706","UROD"
"707","ZSWIM5"
"708","LINC01144"
"709","HPDL"
"710","MUTYH"
"711","TOE1"
"712","TESK2"
"713","CCDC163"
"714","MMACHC"
"715","PRDX1"
"716","AKR1A1"
"717","NASP"
"718","CCDC17"
"719","GPBP1L1"
"720","TMEM69"
"721","IPP"
"722","MAST2"
"723","PIK3R3"
"724","AL358075.2"
"725","TSPAN1"
"726","POMGNT1"
"727","LURAP1"
"728","RAD54L"
"729","LRRC41"
"730","UQCRH"
"731","NSUN4"
"732","FAAH"
"733","DMBX1"
"734","AL136373.1"
"735","MKNK1-AS1"
"736","MKNK1"
"737","MOB3C"
"738","ATPAF1"
"739","TEX38"
"740","EFCAB14-AS1"
"741","EFCAB14"
"742","CYP4B1"
"743","CYP4A22-AS1"
"744","LINC00853"
"745","PDZK1IP1"
"746","TAL1"
"747","STIL"
"748","CMPK1"
"749","LINC01389"
"750","FOXE3"
"751","FOXD2-AS1"
"752","FOXD2"
"753","SLC5A9"
"754","AL109659.2"
"755","SPATA6"
"756","AGBL4"
"757","BEND5"
"758","ELAVL4"
"759","DMRTA2"
"760","FAF1"
"761","CDKN2C"
"762","LINC01562"
"763","RNF11"
"764","AL162430.2"
"765","TTC39A"
"766","TTC39A-AS1"
"767","EPS15"
"768","AC104170.2"
"769","AC104170.1"
"770","OSBPL9"
"771","NRDC"
"772","AL050343.1"
"773","AL050343.2"
"774","RAB3B"
"775","TXNDC12"
"776","KTI12"
"777","AL445685.1"
"778","TXNDC12-AS1"
"779","BTF3L4"
"780","ZFYVE9"
"781","CC2D1B"
"782","AL513218.1"
"783","ORC1"
"784","PRPF38A"
"785","TUT4"
"786","AL591167.1"
"787","GPX7"
"788","SHISAL2A"
"789","COA7"
"790","ZYG11B"
